year,country,per_million
1985,AE,4564.89045700664
1985,AF,-395003.24618838076
1985,AL,-1034.4843869423582
1985,AM,-99.82208885964505
1985,AO,-21349.90133887678
1985,AR,39.455347718268285
1985,BE,0.1014372851811893
1985,BF,-11.646102884002097
1985,BG,-21.20406265376433
1985,BH,715.2564194263643
1985,BI,14924.928744088236
1985,BJ,841.4161875853249
1985,BO,27.207379800532877
1985,BR,0.6264912287800696
1985,BW,4145.9439549109675
1985,BZ,54571.582757805256
1985,CD,-0.20078005729325862
1985,CF,27787.985264775463
1985,CG,98550.12524849961
1985,CI,63.58486789705668
1985,CL,-182.33272265690547
1985,CM,3492.5293205796643
1985,CN,274.5337950981885
1985,CO,3.54704974459952
1985,CR,7874.785778356646
1985,CU,-106.71438796571135
1985,CZ,-141.33533156920527
1985,DJ,40600.263619767255
1985,DO,924.5081105205602
1985,DZ,7316.214439438613
1985,EC,97.28079183027066
1985,EG,12.608309712670962
1985,EH,0.0
1985,ER,-503.0599484009413
1985,ES,-1.611665882322604
1985,ET,-41314.08895263454
1985,GH,-251.25375229195325
1985,GQ,-2.786322500111453
1985,GR,390.5660187431424
1985,GT,-4962.342507214753
1985,GW,-5949.912674581355
1985,HN,14014.79822544625
1985,HT,-955.4845990763126
1985,HU,-40.85000694450118
1985,ID,-22.058975568084676
1985,IN,10.400852820805508
1985,IQ,-20440.737410678146
1985,IR,46658.82821812748
1985,IT,396.4973026468205
1985,JO,102.55577981239544
1985,JP,38.980075194196466
1985,KE,439.66724720723516
1985,KH,-8753.817267467897
1985,KW,1656.1299233924901
1985,LA,-26990.713951416226
1985,LB,-12235.749834770675
1985,LK,-10.106752574063545
1985,LS,7811.481111159414
1985,LT,-0.28212381680797777
1985,LY,-84.41365167519795
1985,MA,2.6178735270689897
1985,MR,-0.5649902652177303
1985,MW,-62.40375088145298
1985,MX,2132.865719544161
1985,MY,6751.098888629755
1985,MZ,-5508.146118362759
1985,NA,0.0
1985,NG,69.11579856314725
1985,NI,-9371.568397755676
1985,PA,405.5376618320569
1985,PE,23.023843082583557
1985,PG,3114.854323902686
1985,PH,-1343.9819063697637
1985,PK,29655.217777830214
1985,PL,-49.86306473448859
1985,QA,538.9658861542358
1985,RO,-163.96088722044198
1985,RS,0.0
1985,RU,-80.50994730915208
1985,RW,-53976.343877647894
1985,SA,9856.612820496295
1985,SC,-30.654159769480717
1985,SD,67978.05276607396
1985,SL,42.11024989801424
1985,SN,825.0140560806003
1985,SO,119287.9678714481
1985,SV,-36762.621195566084
1985,SY,3449.363260933423
1985,SZ,14749.994681492302
1985,TD,-59237.14557594124
1985,TG,766.985736831977
1985,TH,2551.138592955552
1985,TN,-0.8194621159932236
1985,TR,10.58332800605236
1985,TZ,9872.647793774227
1985,UG,-14444.966976690328
1985,UY,-609.912387762176
1985,VE,110.80611505821405
1985,VN,-5147.567439016104
1985,XK,0.0
1985,YE,527.9298660556937
1985,ZA,-1155.4432580189082
1985,ZM,14961.44186546722
1985,ZW,6756.088014849997
1986,AF,-439223.77310794784
1986,AL,-29.77534502181044
1986,AM,-155.64863029205344
1986,AO,-24131.59116666302
1986,AR,53.08315933853328
1986,BF,2.5218473944398814
1986,BG,-17.860788770386275
1986,BI,11799.696998801008
1986,BJ,821.88558716914
1986,BO,18.775955984110176
1986,BR,1.1335783942095257
1986,BW,4165.274166333825
1986,BZ,53076.05208529911
1986,CD,51.29404379038347
1986,CF,10341.18878064444
1986,CG,92439.0986295535
1986,CI,67.79490572129684
1986,CL,-202.19461910377396
1986,CM,5259.299981674913
1986,CN,271.50235753990944
1986,CO,0.0
1986,CR,10139.28666548137
1986,CU,-67.46598450623013
1986,CZ,-39.739990236145466
1986,DJ,37745.31704965875
1986,DO,905.2987214145779
1986,DZ,7102.838433283686
1986,EC,56.07735050910686
1986,EG,16.315393847309963
1986,EH,0.0
1986,ER,-62.38740747189659
1986,ES,-0.02591705960384634
1986,ET,-38375.593205530866
1986,GH,-211.30475074738848
1986,GN,-9.560600535737812
1986,GR,298.98026660010174
1986,GT,-4834.922932750488
1986,GW,-5809.29791477237
1986,HN,15396.047035049538
1986,HT,-940.6295753241304
1986,HU,-35.840055146650734
1986,ID,-50.17754388642298
1986,IN,9.759986466952919
1986,IQ,-20063.84764414743
1986,IR,50790.893171754695
1986,IT,380.46754236219755
1986,JO,-0.9962474678710191
1986,JP,41.28666908109176
1986,KE,457.34192285583924
1986,KH,-6891.338785290972
1986,LA,-24797.82121604842
1986,LB,668.5890157174446
1986,LK,-19.5858981533296
1986,LR,31.7916935571408
1986,LS,7634.040754443245
1986,LY,-76.10291016026422
1986,MA,-0.043433062159009744
1986,ML,6.285225546575784
1986,MR,-0.5494644370132432
1986,MW,13056.526919251099
1986,MX,2091.6175355082482
1986,MY,6170.128389153363
1986,MZ,-14802.386150171258
1986,NA,0.0
1986,NG,55.326064768643946
1986,NI,-15538.922762862607
1986,PA,449.6216566001373
1986,PE,21.504028779791895
1986,PG,3188.006115222036
1986,PH,-1364.9541560336313
1986,PK,30253.664378090212
1986,PL,-29.421094054084996
1986,RO,-44.7958331475954
1986,RS,0.0
1986,RU,-70.57573122420528
1986,RW,-55013.89584235897
1986,SA,10966.895118412183
1986,SC,-30.46365685736916
1986,SD,58074.62890058658
1986,SG,21.95090095643734
1986,SL,43.45116778847358
1986,SN,800.1604508657363
1986,SO,116341.61767362065
1986,SV,-34424.927284196274
1986,SY,8.723884687692198
1986,SZ,16070.97377843575
1986,TD,-40859.76632489072
1986,TG,637.6299784186776
1986,TH,2315.059983149443
