year,country_origin,value
2011,SG,90.0
2012,SG,98.0
2013,SG,99.0
2014,SG,97.0
2015,SG,104.0
2016,SG,81.0
1993,SI,56858.0
1994,SI,29624.0
1995,SI,25676.0
1996,SI,6536.0
1997,SI,6582.0
1998,SI,6470.0
1999,SI,6463.0
2000,SI,6474.0
2001,SI,1453.0
2002,SI,1543.0
2003,SI,1075.0
2004,SI,1058.0
2005,SI,176.0
2006,SI,1776.0
2007,SI,63.0
2008,SI,64.0
2009,SI,58.0
2010,SI,54.0
2011,SI,40.0
2012,SI,47.0
2013,SI,44.0
2014,SI,33.0
2015,SI,36.0
2016,SI,27.0
2015,SJ,1.0
1994,SK,12.0
1995,SK,26.0
1996,SK,57.0
1997,SK,70.0
1998,SK,143.0
1999,SK,178.0
2000,SK,1018.0
2001,SK,863.0
2002,SK,1301.0
2003,SK,1067.0
2004,SK,830.0
2005,SK,994.0
2006,SK,1023.0
2007,SK,446.0
2008,SK,463.0
2009,SK,687.0
2010,SK,585.0
2011,SK,810.0
2012,SK,870.0
2013,SK,720.0
2014,SK,646.0
2015,SK,874.0
2016,SK,1372.0
1988,SL,8.0
1989,SL,9.0
1990,SL,9.0
1991,SL,142614.0
1992,SL,266572.0
1993,SL,314072.0
1994,SL,275415.0
1995,SL,379495.0
1996,SL,375608.0
1997,SL,331127.0
1998,SL,600718.0
1999,SL,493563.0
2000,SL,450606.0
2001,SL,280522.0
2002,SL,224928.0
2003,SL,110756.0
2004,SL,76205.0
2005,SL,46576.0
2006,SL,48636.0
2007,SL,37157.0
2008,SL,35480.0
2009,SL,23249.0
2010,SL,14543.0
2011,SL,11073.0
2012,SL,10137.0
2013,SL,9271.0
2014,SL,9688.0
2015,SL,9888.0
2016,SL,10739.0
1997,SM,2.0
1998,SM,4.0
1999,SM,4.0
2000,SM,6.0
2001,SM,1.0
2002,SM,3.0
2003,SM,2.0
2004,SM,1.0
2005,SM,4.0
2006,SM,4.0
2007,SM,3.0
2008,SM,2.0
2009,SM,2.0
2010,SM,2.0
2011,SM,1.0
2012,SM,1.0
2013,SM,1.0
2014,SM,1.0
2015,SM,2.0
1988,SN,5.0
1989,SN,15006.0
1990,SN,60006.0
1991,SN,25138.0
1992,SN,16176.0
1993,SN,23699.0
1994,SN,25622.0
1995,SN,17592.0
1996,SN,17633.0
1997,SN,17163.0
1998,SN,9716.0
1999,SN,12031.0
2000,SN,12022.0
2001,SN,12259.0
2002,SN,12875.0
2003,SN,9193.0
2004,SN,9885.0
2005,SN,10521.0
2006,SN,16406.0
2007,SN,16801.0
2008,SN,16827.0
2009,SN,16938.0
2010,SN,17802.0
2011,SN,18659.0
2012,SN,21387.0
2013,SN,24534.0
2014,SN,31921.0
2015,SN,35593.0
2016,SN,39297.0
1985,SO,1830.0
1986,SO,3142.0
1987,SO,60162.0
1988,SO,351993.0
1989,SO,360309.0
1990,SO,490364.0
1991,SO,733024.0
1992,SO,802038.0
1993,SO,641231.0
1994,SO,692601.0
1995,SO,681808.0
1996,SO,638786.0
1997,SO,677421.0
1998,SO,626923.0
1999,SO,552561.0
2000,SO,535581.0
2001,SO,509664.0
2002,SO,480327.0
2003,SO,429386.0
2004,SO,429910.0
2005,SO,439999.0
2006,SO,489905.0
2007,SO,476008.0
2008,SO,583176.0
2009,SO,699455.0
2010,SO,793046.0
2011,SO,1108740.0
2012,SO,1170504.0
2013,SO,1194560.0
2014,SO,1160295.0
2015,SO,1212810.0
2016,SO,1108840.0
1989,SR,6601.0
1990,SR,6620.0
1991,SR,6551.0
1992,SR,7125.0
1993,SR,893.0
1994,SR,915.0
1995,SR,817.0
1996,SR,754.0
1997,SR,663.0
1998,SR,491.0
1999,SR,411.0
2000,SR,386.0
2001,SR,291.0
2002,SR,149.0
2003,SR,107.0
2004,SR,85.0
2005,SR,50.0
2006,SR,91.0
2007,SR,75.0
2008,SR,63.0
2009,SR,57.0
2010,SR,32.0
2011,SR,28.0
2012,SR,34.0
2013,SR,38.0
2014,SR,64.0
2015,SR,69.0
2016,SR,36.0
1985,SV,181224.0
1986,SV,172054.0
1987,SV,173504.0
1988,SV,169873.0
1989,SV,42732.0
1990,SV,38309.0
1991,SV,35599.0
1992,SV,33766.0
1993,SV,26770.0
1994,SV,31164.0
1995,SV,23726.0
1996,SV,20869.0
1997,SV,17255.0
1998,SV,12665.0
1999,SV,12440.0
2000,SV,185164.0
2001,SV,172139.0
2002,SV,158219.0
2003,SV,134323.0
2004,SV,96269.0
2005,SV,49486.0
2006,SV,35171.0
2007,SV,24637.0
2008,SV,16311.0
2009,SV,14802.0
2010,SV,6531.0
2011,SV,8356.0
2012,SV,9819.0
2013,SV,20906.0
2014,SV,29006.0
2015,SV,46232.0
2016,SV,81751.0
1985,SY,2599.0
1986,SY,534.0
1987,SY,20.0
1988,SY,881.0
1989,SY,397.0
1990,SY,2148.0
1991,SY,3037.0
1992,SY,4408.0
1993,SY,5407.0
1994,SY,7099.0
1995,SY,7995.0
1996,SY,8611.0
1997,SY,8654.0
1998,SY,8128.0
1999,SY,6696.0
2000,SY,9609.0
2001,SY,8734.0
2002,SY,23189.0
2003,SY,24371.0
2004,SY,25386.0
2005,SY,23424.0
2006,SY,19845.0
2007,SY,20582.0
2008,SY,21208.0
2009,SY,23480.0
2010,SY,28212.0
2011,SY,48493.0
2012,SY,830566.0
2013,SY,2659590.0
2014,SY,3974267.0
2015,SY,5127537.0
2016,SY,5717764.0
1993,SZ,1.0
1994,SZ,13.0
1995,SZ,15.0
1996,SZ,17.0
1997,SZ,20.0
1998,SZ,30.0
1999,SZ,28.0
2000,SZ,20.0
2001,SZ,19.0
2002,SZ,24.0
2003,SZ,16.0
2004,SZ,23.0
2005,SZ,18.0
2006,SZ,27.0
2007,SZ,91.0
2008,SZ,131.0
2009,SZ,88.0
2010,SZ,88.0
2011,SZ,178.0
2012,SZ,230.0
2013,SZ,256.0
2014,SZ,305.0
2015,SZ,388.0
2016,SZ,364.0
2002,TC,4.0
2003,TC,4.0
2004,TC,1.0
2005,TC,2.0
2006,TC,2.0
2007,TC,1.0
2008,TC,1.0
2009,TC,1.0
2010,TC,3.0
2011,TC,20.0
2012,TC,23.0
2013,TC,20.0
2014,TC,15.0
2015,TC,15.0
2016,TC,14.0
1985,TD,301608.0
1986,TD,214228.0
1987,TD,157068.0
1988,TD,135020.0
1989,TD,130784.0
1990,TD,190696.0
1991,TD,129689.0
1992,TD,76191.0
1993,TD,219272.0
1994,TD,212355.0
1995,TD,70012.0
1996,TD,60633.0
1997,TD,57636.0
1998,TD,62470.0
1999,TD,60927.0
2000,TD,60012.0
2001,TD,52996.0
2002,TD,49838.0
2003,TD,55201.0
2004,TD,55384.0
2005,TD,55960.0
2006,TD,39751.0
2007,TD,58438.0
2008,TD,62889.0
2009,TD,59137.0
2010,TD,56465.0
2011,TD,45857.0
2012,TD,45201.0
2013,TD,52883.0
2014,TD,51935.0
2015,TD,18267.0
2016,TD,17327.0
1985,TG,5.0
1986,TG,5.0
1987,TG,5.0
1988,TG,5.0
1989,TG,6.0
1990,TG,6.0
1991,TG,18.0
1992,TG,106.0
1993,TG,291438.0
1994,TG,294213.0
1995,TG,171995.0
1996,TG,91888.0
1997,TG,19545.0
1998,TG,4000.0
1999,TG,3692.0
2000,TG,5297.0
2001,TG,6326.0
2002,TG,13234.0
2003,TG,16352.0
2004,TG,16399.0
2005,TG,58589.0
2006,TG,41843.0
2007,TG,27219.0
2008,TG,22679.0
2009,TG,19632.0
2010,TG,19391.0
2011,TG,20935.0
2012,TG,18816.0
2013,TG,11961.0
2014,TG,11020.0
2015,TG,10941.0
2016,TG,10900.0
1989,TH,2.0
1990,TH,20.0
1991,TH,30.0
1992,TH,35.0
1993,TH,36.0
1994,TH,139.0
1995,TH,211.0
1996,TH,284.0
1997,TH,272.0
1998,TH,295.0
1999,TH,318.0
2000,TH,359.0
2001,TH,252.0
2002,TH,597.0
2003,TH,450.0
2004,TH,413.0
2005,TH,650.0
2006,TH,3534.0
2007,TH,2696.0
2008,TH,2232.0
2009,TH,903.0
2010,TH,584.0
2011,TH,556.0
2012,TH,558.0
2013,TH,396.0
2014,TH,648.0
2015,TH,1059.0
2016,TH,1086.0
1992,TJ,60008.0
1993,TJ,70108.0
1994,TJ,75469.0
1995,TJ,60294.0
1996,TJ,114216.0
1997,TJ,88135.0
1998,TJ,61260.0
1999,TJ,49861.0
2000,TJ,62085.0
2001,TJ,58854.0
2002,TJ,64919.0
2003,TJ,59413.0
2004,TJ,57015.0
2005,TJ,54942.0
2006,TJ,2039.0
2007,TJ,999.0
2008,TJ,694.0
2009,TJ,831.0
2010,TJ,908.0
2011,TJ,995.0
2012,TJ,1121.0
2013,TJ,1266.0
2014,TJ,1684.0
2015,TJ,2250.0
2016,TJ,4092.0
1999,TL,290000.0
2000,TL,170760.0
2001,TL,91246.0
2002,TL,60492.0
2003,TL,517.0
2004,TL,666.0
2005,TL,254.0
2006,TL,260.0
2007,TL,8.0
2008,TL,9.0
2009,TL,7.0
2010,TL,9.0
2011,TL,9.0
2012,TL,16.0
2013,TL,19.0
2014,TL,23.0
2015,TL,27.0
2016,TL,14.0
1994,TM,7.0
1995,TM,47.0
1996,TM,2937.0
1997,TM,3181.0
1998,TM,1721.0
1999,TM,1051.0
2000,TM,350.0
2001,TM,354.0
2002,TM,931.0
2003,TM,1004.0
2004,TM,997.0
2005,TM,996.0
2006,TM,848.0
2007,TM,827.0
2008,TM,852.0
2009,TM,819.0
2010,TM,804.0
2011,TM,808.0
2012,TM,855.0
2013,TM,842.0
2014,TM,1243.0
2015,TM,1670.0
2016,TM,1395.0
1985,TN,6.0
1986,TN,6.0
1987,TN,6.0
1988,TN,7.0
1989,TN,9.0
1990,TN,42.0
1991,TN,63.0
1992,TN,86.0
1993,TN,108.0
1994,TN,212.0
1995,TN,333.0
1996,TN,408.0
1997,TN,698.0
1998,TN,932.0
1999,TN,1240.0
2000,TN,1570.0
2001,TN,1764.0
2002,TN,2976.0
2003,TN,2948.0
2004,TN,2862.0
2005,TN,3494.0
2006,TN,3198.0
2007,TN,2855.0
2008,TN,2717.0
2009,TN,2765.0
2010,TN,2733.0
2011,TN,3574.0
2012,TN,4230.0
2013,TN,3164.0
2014,TN,3408.0
2015,TN,3929.0
2016,TN,3671.0
1996,TO,3.0
1997,TO,3.0
1998,TO,2.0
1999,TO,2.0
2000,TO,23.0
2001,TO,49.0
2002,TO,74.0
2003,TO,52.0
2004,TO,18.0
2005,TO,14.0
2006,TO,23.0
2007,TO,23.0
2008,TO,33.0
2009,TO,30.0
2010,TO,16.0
2011,TO,32.0
2012,TO,52.0
2013,TO,81.0
2014,TO,105.0
2015,TO,86.0
2016,TO,103.0
1985,TR,1120.0
1986,TR,852.0
1987,TR,1084.0
1988,TR,150.0
1989,TR,2834.0
1990,TR,5508.0
1991,TR,6452.0
1992,TR,10089.0
1993,TR,16768.0
1994,TR,28873.0
1995,TR,44866.0
1996,TR,50483.0
1997,TR,48512.0
1998,TR,45647.0
1999,TR,44120.0
2000,TR,57662.0
2001,TR,60461.0
2002,TR,206224.0
2003,TR,193664.0
2004,TR,179899.0
2005,TR,181914.0
2006,TR,239451.0
2007,TR,231297.0
2008,TR,222921.0
2009,TR,155710.0
2010,TR,154567.0
2011,TR,146679.0
2012,TR,144238.0
2013,TR,77146.0
2014,TR,75462.0
2015,TR,71671.0
2016,TR,81128.0
1990,TT,1.0
1991,TT,1.0
1992,TT,1.0
1993,TT,1.0
1994,TT,13.0
1995,TT,14.0
1996,TT,16.0
1997,TT,21.0
1998,TT,26.0
1999,TT,25.0
2000,TT,141.0
2001,TT,195.0
2002,TT,356.0
2003,TT,327.0
2004,TT,213.0
2005,TT,272.0
2006,TT,311.0
2007,TT,386.0
2008,TT,470.0
2009,TT,512.0
2010,TT,401.0
2011,TT,402.0
2012,TT,425.0
2013,TT,464.0
2014,TT,544.0
2015,TT,566.0
2016,TT,531.0
1995,TV,3.0
1996,TV,3.0
1997,TV,3.0
1998,TV,3.0
1999,TV,3.0
2000,TV,3.0
2001,TV,4.0
2002,TV,4.0
2003,TV,3.0
2004,TV,3.0
2006,TV,3.0
2007,TV,2.0
2008,TV,2.0
2011,TV,2.0
2012,TV,6.0
2013,TV,4.0
2014,TV,6.0
2015,TV,3.0
1985,TZ,1.0
1987,TZ,2000.0
1988,TZ,5.0
1989,TZ,9.0
1990,TZ,8.0
1991,TZ,11.0
1992,TZ,21.0
1993,TZ,32.0
1994,TZ,62.0
1995,TZ,68.0
1996,TZ,71.0
1997,TZ,66.0
1998,TZ,7422.0
1999,TZ,7441.0
2000,TZ,1870.0
2001,TZ,3199.0
2002,TZ,3089.0
2003,TZ,4290.0
2004,TZ,5335.0
2005,TZ,6799.0
2006,TZ,1897.0
2007,TZ,4176.0
2008,TZ,4171.0
2009,TZ,1407.0
2010,TZ,1356.0
2011,TZ,1722.0
2012,TZ,1979.0
2013,TZ,2068.0
2014,TZ,1943.0
2015,TZ,2427.0
2016,TZ,1770.0
1992,UA,38.0
1993,UA,134.0
1994,UA,917.0
1995,UA,1701.0
1996,UA,6115.0
1997,UA,6348.0
1998,UA,5166.0
1999,UA,12238.0
2000,UA,22363.0
2001,UA,32616.0
2002,UA,90140.0
2003,UA,97014.0
2004,UA,92239.0
2005,UA,86899.0
2006,UA,67210.0
2007,UA,28408.0
2008,UA,30323.0
2009,UA,26066.0
2010,UA,26371.0
2011,UA,26435.0
2012,UA,26469.0
2013,UA,6812.0
2014,UA,253168.0
2015,UA,343803.0
2016,UA,266890.0
1985,UG,362270.0
1986,UG,295922.0
1987,UG,195021.0
1988,UG,107135.0
1989,UG,40398.0
1990,UG,58900.0
1991,UG,39446.0
1992,UG,37448.0
1993,UG,34561.0
1994,UG,35467.0
1995,UG,28737.0
1996,UG,28673.0
1997,UG,56499.0
1998,UG,14308.0
1999,UG,14173.0
2000,UG,33916.0
2001,UG,41244.0
2002,UG,42731.0
2003,UG,42487.0
2004,UG,35268.0
2005,UG,38562.0
2006,UG,28134.0
2007,UG,24502.0
2008,UG,10792.0
2009,UG,8551.0
2010,UG,7451.0
2011,UG,7685.0
2012,UG,8719.0
2013,UG,11951.0
2014,UG,11988.0
2015,UG,13953.0
2016,UG,11486.0
1990,US,1.0
1991,US,8.0
1992,US,10.0
1993,US,13.0
1994,US,366.0
1995,US,245.0
1996,US,143.0
1997,US,75.0
1998,US,51.0
1999,US,41.0
2000,US,269.0
2001,US,330.0
2002,US,618.0
2003,US,747.0
2004,US,724.0
2005,US,946.0
2006,US,1754.0
2007,US,3290.0
2008,US,3892.0
2009,US,3824.0
2010,US,3907.0
2011,US,4383.0
2012,US,4891.0
2013,US,5066.0
2014,US,5194.0
2015,US,5105.0
2016,US,548.0
1985,UY,1837.0
1986,UY,107.0
1987,UY,39.0
1988,UY,32.0
1989,UY,202.0
1990,UY,842.0
1991,UY,601.0
1992,UY,429.0
1993,UY,162.0
1994,UY,378.0
1995,UY,268.0
1996,UY,201.0
1997,UY,89.0
1998,UY,74.0
1999,UY,39.0
2000,UY,216.0
2001,UY,355.0
2002,UY,570.0
2003,UY,600.0
2004,UY,211.0
2005,UY,173.0
2006,UY,219.0
2007,UY,229.0
2008,UY,250.0
2009,UY,250.0
2010,UY,237.0
2011,UY,231.0
2012,UY,207.0
2013,UY,171.0
2014,UY,170.0
2015,UY,153.0
2016,UY,101.0
1993,UZ,2.0
1994,UZ,29060.0
1995,UZ,143.0
1996,UZ,69751.0
1997,UZ,69069.0
1998,UZ,52460.0
1999,UZ,45534.0
2000,UZ,55653.0
2001,UZ,11544.0
2002,UZ,10874.0
2003,UZ,9348.0
2004,UZ,9059.0
2005,UZ,9799.0
2006,UZ,11261.0
2007,UZ,7502.0
2008,UZ,8153.0
2009,UZ,8262.0
2010,UZ,10458.0
2011,UZ,14180.0
2012,UZ,13033.0
2013,UZ,6737.0
2014,UZ,6876.0
2015,UZ,6889.0
2016,UZ,6796.0
1994,VC,7.0
1995,VC,7.0
1996,VC,13.0
1997,VC,13.0
1998,VC,24.0
1999,VC,36.0
2000,VC,126.0
2001,VC,241.0
2002,VC,593.0
2003,VC,526.0
2004,VC,393.0
2005,VC,634.0
2006,VC,707.0
2007,VC,1150.0
2008,VC,1494.0
2009,VC,1922.0
2010,VC,1993.0
2011,VC,2033.0
2012,VC,1805.0
2013,VC,1761.0
2014,VC,1782.0
2015,VC,1865.0
2016,VC,1461.0
1991,VE,1.0
1992,VE,4.0
1993,VE,135.0
1994,VE,502.0
1995,VE,476.0
1996,VE,560.0
1997,VE,608.0
1998,VE,570.0
1999,VE,556.0
2000,VE,647.0
2001,VE,801.0
2002,VE,1309.0
2003,VE,2617.0
2004,VE,3952.0
2005,VE,5422.0
2006,VE,6203.0
2007,VE,6858.0
2008,VE,7333.0
2009,VE,7801.0
2010,VE,7329.0
2011,VE,8150.0
2012,VE,8707.0
2013,VE,9551.0
2014,VE,12830.0
2015,VE,22545.0
2016,VE,52569.0
2014,VG,1.0
1985,VN,328027.0
1986,VN,326068.0
1987,VN,325217.0
1988,VN,439939.0
1989,VN,457430.0
1990,VN,502122.0
1991,VN,510831.0
1992,VN,534126.0
1993,VN,546849.0
1994,VN,551962.0
1995,VN,549867.0
1996,VN,543700.0
1997,VN,481731.0
1998,VN,435560.0
1999,VN,405504.0
2000,VN,372354.0
2001,VN,358737.0
2002,VN,377788.0
2003,VN,366119.0
2004,VN,352728.0
2005,VN,360939.0
2006,VN,376590.0
2007,VN,329789.0
2008,VN,330297.0
2009,VN,340678.0
2010,VN,339895.0
2011,VN,339219.0
2012,VN,338411.0
2013,VN,316178.0
2014,VN,316635.0
2015,VN,317792.0
2016,VN,333933.0
2000,VU,2.0
2001,VU,1.0
2009,VU,2.0
2010,VU,3.0
2011,VU,3.0
2012,VU,1.0
2013,VU,1.0
2014,VU,1.0
2015,VU,2.0
1994,WS,1.0
1997,WS,1.0
1998,WS,1.0
1999,WS,1.0
2000,WS,3.0
2001,WS,10.0
2002,WS,5.0
2003,WS,5.0
2004,WS,1.0
2005,WS,3.0
2006,WS,5.0
2007,WS,3.0
2008,WS,4.0
2009,WS,1.0
2010,WS,3.0
2011,WS,1.0
2012,WS,13.0
2013,WS,10.0
2014,WS,11.0
2015,WS,14.0
2016,WS,5.0
1985,XK,91.0
1986,XK,72.0
1987,XK,42.0
1988,XK,99.0
1989,XK,98.0
1990,XK,1745.0
1991,XK,53323.0
1992,XK,93581.0
1993,XK,58253.0
1994,XK,55092.0
1995,XK,86612.0
1996,XK,108145.0
1997,XK,109047.0
1998,XK,452610.0
1999,XK,1273484.0
2000,XK,672985.0
2001,XK,571104.0
2002,XK,704669.0
2003,XK,664636.0
2004,XK,595528.0
2005,XK,547763.0
2006,XK,513661.0
2007,XK,409175.0
2008,XK,456423.0
2009,XK,463475.0
2010,XK,447229.0
2011,XK,424706.0
2012,XK,415445.0
2013,XK,308195.0
2014,XK,316611.0
2015,XK,312812.0
2016,XK,278847.0
1985,YE,1.0
1986,YE,1.0
1987,YE,1.0
1988,YE,1.0
1989,YE,3.0
1990,YE,8.0
1991,YE,23.0
1992,YE,31.0
1993,YE,39.0
1994,YE,150.0
1995,YE,371.0
1996,YE,1254.0
1997,YE,1721.0
1998,YE,1936.0
1999,YE,2022.0
2000,YE,2976.0
2001,YE,2938.0
2002,YE,2910.0
2003,YE,2189.0
2004,YE,1983.0
2005,YE,1750.0
2006,YE,1723.0
2007,YE,1952.0
2008,YE,2250.0
2009,YE,2554.0
2010,YE,2703.0
2011,YE,3485.0
2012,YE,4186.0
2013,YE,4320.0
2014,YE,5410.0
2015,YE,25978.0
2016,YE,34219.0
1985,ZA,38110.0
1986,ZA,33220.0
1987,ZA,26151.0
1988,ZA,24958.0
1989,ZA,24237.0
1990,ZA,14783.0
1991,ZA,15916.0
1992,ZA,11416.0
1993,ZA,9517.0
1994,ZA,1795.0
1995,ZA,536.0
1996,ZA,422.0
1997,ZA,266.0
1998,ZA,235.0
1999,ZA,193.0
2000,ZA,280.0
2001,ZA,310.0
2002,ZA,463.0
2003,ZA,570.0
2004,ZA,820.0
2005,ZA,433.0
2006,ZA,674.0
2007,ZA,593.0
2008,ZA,604.0
2009,ZA,554.0
2010,ZA,594.0
2011,ZA,643.0
2012,ZA,657.0
2013,ZA,785.0
2014,ZA,965.0
2015,ZA,1305.0
2016,ZA,1369.0
1988,ZM,1.0
1989,ZM,1.0
1990,ZM,1.0
1991,ZM,1.0
1992,ZM,1990.0
1993,ZM,2038.0
1994,ZM,1589.0
1995,ZM,20.0
1996,ZM,40.0
1997,ZM,63.0
1998,ZM,77.0
1999,ZM,92.0
2000,ZM,221.0
2001,ZM,169.0
2002,ZM,269.0
2003,ZM,368.0
2004,ZM,506.0
2005,ZM,632.0
2006,ZM,271.0
2007,ZM,692.0
2008,ZM,690.0
2009,ZM,260.0
2010,ZM,286.0
2011,ZM,430.0
2012,ZM,505.0
2013,ZM,537.0
2014,ZM,617.0
2015,ZM,787.0
2016,ZM,536.0
1985,ZW,4250.0
1986,ZW,3910.0
1987,ZW,3830.0
1988,ZW,1117.0
1989,ZW,3.0
1990,ZW,4.0
1991,ZW,128.0
1992,ZW,9.0
1993,ZW,17.0
1994,ZW,42.0
1995,ZW,36.0
1996,ZW,34.0
1997,ZW,38.0
1998,ZW,42.0
1999,ZW,43.0
2000,ZW,318.0
2001,ZW,2956.0
2002,ZW,5191.0
2003,ZW,10633.0
2004,ZW,18982.0
2005,ZW,28577.0
2006,ZW,13997.0
2007,ZW,48707.0
2008,ZW,51639.0
2009,ZW,23872.0
2010,ZW,25285.0
2011,ZW,61766.0
2012,ZW,63852.0
2013,ZW,61574.0
2014,ZW,64981.0
2015,ZW,78766.0
2016,ZW,61330.0
